dataset,method,sample_pct,recall_mean,recall_median,recall_std,recall_min,recall_max,precision_mean,precision_median,precision_std,precision_min,precision_max,igd_mean,igd_median,igd_std,igd_min,igd_max,hv_diff_mean,hv_diff_median,hv_diff_std,hv_diff_min,hv_diff_max,pred_pf_size_mean,true_pf_size_first
SS-B,LHS,10,0.025,0.0,0.1118,0.0,0.5,0.01,0.0,0.0447,0.0,0.2,0.0464,0.0431,0.0071,0.0425,0.0657,0.0017,0.0001,0.0029,0.0001,0.0078,1.7,2
SS-B,LHS,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0409,0.0431,0.0071,0.013,0.0431,0.0004,0.0001,0.0007,0.0001,0.0024,1.25,2
SS-B,LHS,30,0.025,0.0,0.1118,0.0,0.5,0.05,0.0,0.2236,0.0,1.0,0.0425,0.0431,0.0025,0.032,0.0431,0.0008,0.0001,0.0028,0.0,0.0125,1.3,2
SS-B,Random,5,0.1,0.0,0.2052,0.0,0.5,0.1562,0.0,0.3647,0.0,1.0,0.0521,0.0431,0.0334,0.0156,0.1762,0.0078,0.0001,0.018,0.0,0.0777,2.2,2
SS-B,Random,10,0.1,0.0,0.2052,0.0,0.5,0.2,0.0,0.4104,0.0,1.0,0.0426,0.0431,0.0021,0.0335,0.0431,0.0001,0.0001,0.0001,0.0001,0.0006,1.05,2
SS-B,Random,20,0.225,0.0,0.2552,0.0,0.5,0.3125,0.0,0.4282,0.0,1.0,0.0377,0.0431,0.0099,0.0176,0.0431,0.0007,0.0001,0.001,0.0001,0.0031,1.65,2
SS-B,Random,30,0.3,0.25,0.3403,0.0,1.0,0.5,0.5,0.513,0.0,1.0,0.0364,0.0431,0.0141,0.0004,0.0431,0.0002,0.0001,0.0005,0.0,0.0017,1.35,2
SS-B,Sobol,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054,0.0431,0.0222,0.0425,0.1215,0.0081,0.0001,0.0175,0.0001,0.0767,1.75,2
SS-B,Sobol,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0423,0.0431,0.0111,0.0142,0.076,0.0011,0.0001,0.0033,0.0001,0.0145,1.25,2
SS-B,Sobol,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0406,0.0431,0.0064,0.0174,0.0431,0.0003,0.0001,0.0005,0.0,0.0022,1.5,2
SS-B,Sobol,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0402,0.0431,0.0091,0.0145,0.0523,0.0005,0.0001,0.0015,0.0001,0.0066,1.4,2
SS-B,Stratified,5,0.05,0.0,0.1539,0.0,0.5,0.1,0.0,0.3078,0.0,1.0,0.0453,0.0431,0.0073,0.0425,0.0719,0.0017,0.0001,0.0052,0.0,0.0225,1.35,2
SS-B,Stratified,10,0.175,0.0,0.2447,0.0,0.5,0.325,0.0,0.4667,0.0,1.0,0.0429,0.0431,0.0006,0.0403,0.0431,0.0001,0.0001,0.0002,0.0001,0.001,1.15,2
SS-B,Stratified,20,0.175,0.0,0.2447,0.0,0.5,0.325,0.0,0.4667,0.0,1.0,0.0409,0.0431,0.0063,0.0171,0.0431,0.0003,0.0001,0.0008,0.0001,0.0037,1.3,2
SS-B,Stratified,30,0.25,0.0,0.3035,0.0,1.0,0.3446,0.0,0.4564,0.0,1.0,0.034,0.0431,0.015,0.0042,0.0484,0.0007,0.0001,0.0013,0.0,0.0053,1.8,2
Wine_quality,ActiveLearning,5,0.1375,0.0,0.2497,0.0,0.75,0.1771,0.0,0.3665,0.0,1.0,0.156,0.1435,0.0662,0.0569,0.2713,0.1004,0.0882,0.0716,0.0059,0.2058,6.9,4
Wine_quality,ActiveLearning,10,0.3625,0.25,0.3759,0.0,1.0,0.3742,0.2667,0.4016,0.0,1.0,0.0955,0.1058,0.0592,0.0,0.1952,0.0685,0.068,0.0506,0.0,0.1508,5.0,4
Wine_quality,ActiveLearning,20,0.7625,1.0,0.367,0.0,1.0,0.7339,1.0,0.3993,0.0,1.0,0.0262,0.0,0.0356,0.0,0.1017,0.0145,0.0,0.0293,0.0,0.1191,4.5,4
Wine_quality,ActiveLearning,30,0.9125,1.0,0.1863,0.5,1.0,0.9667,1.0,0.1026,0.6667,1.0,0.0086,0.0,0.0258,0.0,0.1101,0.0019,0.0,0.0048,0.0,0.0162,3.75,4
Wine_quality,Clustering,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1124,0.1121,0.034,0.0665,0.1922,0.0306,0.0137,0.0429,0.0028,0.1691,5.65,4
Wine_quality,Clustering,10,0.2125,0.25,0.1468,0.0,0.5,0.2421,0.25,0.1872,0.0,0.6667,0.1146,0.1179,0.0304,0.0711,0.1534,0.0395,0.0342,0.029,0.0001,0.0928,4.6,4
Wine_quality,Clustering,20,0.4625,0.5,0.0916,0.25,0.5,0.374,0.3095,0.1833,0.1111,0.6667,0.0454,0.0498,0.0134,0.0077,0.0733,0.0164,0.0133,0.0082,0.0054,0.032,5.8,4
Wine_quality,Clustering,30,0.625,0.625,0.1282,0.5,0.75,0.7889,0.8333,0.2521,0.2222,1.0,0.0081,0.0038,0.0148,0.0,0.0498,0.0035,0.0027,0.0043,0.0,0.0133,3.6,4
Wine_quality,Diversity,5,0.25,0.25,0.1147,0.0,0.5,0.3042,0.25,0.1651,0.0,0.6667,0.089,0.0962,0.0205,0.0561,0.1121,0.0565,0.0387,0.0378,0.0121,0.1616,3.45,4
Wine_quality,Diversity,10,0.5,0.5,0.0,0.5,0.5,0.64,0.6667,0.0821,0.4,0.6667,0.0287,0.0154,0.0237,0.0077,0.0645,0.0265,0.0135,0.0232,0.0054,0.0539,3.2,4
Wine_quality,Diversity,20,0.7125,0.75,0.0916,0.5,0.75,0.95,1.0,0.1221,0.6667,1.0,0.0012,0.0,0.0028,0.0,0.0077,0.0008,0.0,0.002,0.0,0.0054,3.0,4
