dataset,method,sample_size,sample_pct,dataset_size,recall,precision,igd,hv_diff,pred_pf_size,true_pf_size,repeat
SS-M,Clustering,100,11.57,864,0.14285714285714285,0.16666666666666666,0.0029236456942677708,0.0,6,7,4
SS-M,Clustering,100,11.57,864,0.14285714285714285,0.1,0.002807530128919071,0.0,10,7,5
SS-M,Clustering,100,11.57,864,0.14285714285714285,0.16666666666666666,0.003352364908742377,0.0001999999999999956,6,7,6
SS-M,Clustering,100,11.57,864,0.0,0.0,0.002354568279625023,0.0,7,7,7
SS-M,Clustering,100,11.57,864,0.2857142857142857,1.0,0.0038672866266905056,0.0,2,7,8
SS-M,Clustering,100,11.57,864,0.14285714285714285,0.5,0.0038347103671225067,0.0,2,7,9
SS-M,Clustering,100,11.57,864,0.14285714285714285,0.5,0.0044248781997839725,0.0001000100010000978,2,7,10
SS-M,Clustering,100,11.57,864,0.2857142857142857,0.5,0.0029976626602105532,0.0001000100010000978,4,7,11
SS-M,Clustering,100,11.57,864,0.2857142857142857,0.6666666666666666,0.0029784038946863768,0.0,3,7,12
SS-M,Clustering,100,11.57,864,0.42857142857142855,0.23076923076923078,0.00226467689929618,0.0001000100010000978,13,7,13
SS-M,Clustering,100,11.57,864,0.2857142857142857,0.3333333333333333,0.0030654989553771323,0.0,6,7,14
SS-M,Clustering,100,11.57,864,0.14285714285714285,0.3333333333333333,0.003489083035396256,0.0001000100010000978,3,7,15
SS-M,Clustering,100,11.57,864,0.14285714285714285,0.2,0.0025625148066025583,0.0,5,7,16
SS-M,Clustering,100,11.57,864,0.2857142857142857,1.0,0.005310058689129689,0.0,2,7,17
SS-M,Clustering,100,11.57,864,0.14285714285714285,0.14285714285714285,0.002579111069547564,0.0,7,7,18
SS-M,Clustering,100,11.57,864,0.14285714285714285,0.5,0.004237939684106893,0.0,2,7,19
SS-M,Diversity,100,11.57,864,0.0,0.0,0.0017580322026730555,0.0,8,7,0
