dataset,method,sample_size,sample_pct,dataset_size,recall,precision,igd,hv_diff,pred_pf_size,true_pf_size,repeat
auto93,Stratified,100,25.13,398,0.38461538461538464,0.5,0.13744639080836826,0.09754117374159126,10,13,16
auto93,Stratified,100,25.13,398,0.38461538461538464,0.3125,0.16947890544209904,0.10971533940301936,16,13,17
auto93,Stratified,100,25.13,398,0.38461538461538464,0.2777777777777778,0.03444843958277907,0.0036705666437257356,18,13,18
auto93,Stratified,100,25.13,398,0.15384615384615385,0.18181818181818182,0.19639346415109554,0.06460900610388128,11,13,19
auto93,Clustering,100,25.13,398,0.3076923076923077,0.36363636363636365,0.13197140300579463,0.011246270369520256,11,13,0
auto93,Clustering,100,25.13,398,0.3076923076923077,0.5714285714285714,0.1778017265013974,0.10637560637560635,7,13,1
auto93,Clustering,100,25.13,398,0.15384615384615385,0.3333333333333333,0.15571184465229923,0.1034682080924856,6,13,2
auto93,Clustering,100,25.13,398,0.3076923076923077,0.4,0.14118461953860362,0.009937601109313587,10,13,3
auto93,Clustering,100,25.13,398,0.23076923076923078,0.3,0.152662071572252,0.07811059907834082,10,13,4
auto93,Clustering,100,25.13,398,0.3076923076923077,0.4444444444444444,0.13333279196808226,0.0017271157167529842,9,13,5
auto93,Clustering,100,25.13,398,0.07692307692307693,0.14285714285714285,0.1674023786936016,0.0027592550011496285,7,13,6
auto93,Clustering,100,25.13,398,0.3076923076923077,0.4,0.16289465543028692,0.10859780727062887,10,13,7
auto93,Clustering,100,25.13,398,0.23076923076923078,0.6,0.24678356228062898,0.10525707683419967,5,13,8
auto93,Clustering,100,25.13,398,0.23076923076923078,0.3333333333333333,0.154981223479447,0.10635838150289015,9,13,9
auto93,Clustering,100,25.13,398,0.23076923076923078,0.5,0.16638847443894453,0.09707401032702234,6,13,10
auto93,Clustering,100,25.13,398,0.38461538461538464,0.5555555555555556,0.15729296363064937,0.10632882101122312,9,13,11
auto93,Clustering,100,25.13,398,0.23076923076923078,0.25,0.15831258527942327,0.09691579068961532,12,13,12
auto93,Clustering,100,25.13,398,0.23076923076923078,0.23076923076923078,0.13240967340012716,0.0328741752517653,13,13,13
auto93,Clustering,100,25.13,398,0.23076923076923078,0.42857142857142855,0.1906513173344043,0.10987224157955855,7,13,14
auto93,Clustering,100,25.13,398,0.3076923076923077,0.3333333333333333,0.1328224194971942,0.015109573241061184,12,13,15
auto93,Clustering,100,25.13,398,0.15384615384615385,0.18181818181818182,0.1628770689467824,0.09220839096357757,11,13,16
auto93,Clustering,100,25.13,398,0.3076923076923077,0.4,0.16344202000589308,0.10921739130434774,10,13,17
auto93,Clustering,100,25.13,398,0.3076923076923077,0.4,0.14916468808972771,0.10663424800277871,10,13,18
auto93,Clustering,100,25.13,398,0.23076923076923078,0.21428571428571427,0.15835327870164148,0.00464414257517715,14,13,19
auto93,Diversity,100,25.13,398,0.3076923076923077,0.6666666666666666,0.18615160009145798,0.08026678932842682,6,13,0
auto93,Diversity,100,25.13,398,0.6153846153846154,0.8888888888888888,0.13666087782345637,0.11477679086399833,9,13,1
auto93,Diversity,100,25.13,398,0.38461538461538464,0.7142857142857143,0.18803070320511822,0.08435264251096225,7,13,2
auto93,Diversity,100,25.13,398,0.38461538461538464,0.625,0.18292773737922602,0.08913195252501742,8,13,3
auto93,Diversity,100,25.13,398,0.38461538461538464,0.625,0.15127118973559758,0.11532729565516446,8,13,4
auto93,Diversity,100,25.13,398,0.6923076923076923,0.5,0.11779048613633725,0.12030509649832434,18,13,5
auto93,Diversity,100,25.13,398,0.5384615384615384,0.7,0.1288865253951317,0.11848505906879768,10,13,6
auto93,Diversity,100,25.13,398,0.6153846153846154,0.8,0.13550083681411285,0.11427583025830278,10,13,7
auto93,Diversity,100,25.13,398,0.38461538461538464,0.5555555555555556,0.16622471304266506,0.08243398392652115,9,13,8
auto93,Diversity,100,25.13,398,0.46153846153846156,0.5454545454545454,0.1422447732746606,0.12027649769585257,11,13,9
auto93,Diversity,100,25.13,398,0.5384615384615384,0.7777777777777778,0.13047778337805913,0.12638322655794965,9,13,10
auto93,Diversity,100,25.13,398,0.38461538461538464,0.625,0.18308462672300438,0.08303581711390083,8,13,11
auto93,Diversity,100,25.13,398,0.6153846153846154,0.36363636363636365,0.11898475997968126,0.12234966979492527,22,13,12
auto93,Diversity,100,25.13,398,0.46153846153846156,0.46153846153846156,0.13217119962882265,0.1147276084949215,13,13,13
