dataset,method,sample_size,recall_mean,recall_median,recall_std,recall_min,recall_max,precision_mean,precision_median,precision_std,precision_min,precision_max,igd_mean,igd_median,igd_std,igd_min,igd_max,hv_diff_mean,hv_diff_median,hv_diff_std,hv_diff_min,hv_diff_max,sample_pct_first,dataset_size_first,pred_pf_size_mean,true_pf_size_first
accessories,LHS,250,0.3259,0.298,0.1082,0.1862,0.5405,0.9463,0.9644,0.0526,0.8337,1.0,0.0062,0.007,0.0049,0.0,0.0156,0.0239,0.0191,0.0329,0.0001,0.1214,22.3,1121,233.2,666
accessories,Random,50,0.4324,0.4084,0.3395,0.018,0.9114,0.6627,0.63,0.0946,0.5569,0.8667,0.0502,0.0455,0.0255,0.0223,0.1169,0.2737,0.3289,0.1305,0.0006,0.4237,4.46,1121,471.85,666
accessories,Random,100,0.4332,0.5285,0.2614,0.0375,0.9084,0.6946,0.6224,0.1464,0.5214,0.9489,0.0485,0.0402,0.0312,0.0046,0.1028,0.2632,0.332,0.1354,0.0097,0.3881,8.92,1121,468.4,666
accessories,Random,200,0.3576,0.2372,0.2946,0.0375,0.8183,0.8093,0.8633,0.135,0.5659,0.9581,0.0396,0.0307,0.0235,0.0081,0.1022,0.1531,0.0476,0.1562,0.0087,0.4277,17.84,1121,331.9,666
accessories,Random,250,0.3261,0.2725,0.2176,0.0601,0.8423,0.9023,0.9177,0.083,0.6118,0.9784,0.0267,0.0218,0.0168,0.0006,0.0709,0.0809,0.0247,0.1188,0.0005,0.3657,22.3,1121,252.7,666
accessories,Sobol,50,0.1076,0.0968,0.0791,0.024,0.3754,0.8588,0.8857,0.0883,0.6098,0.9552,0.0274,0.0223,0.0222,0.0082,0.1098,0.1678,0.1983,0.1118,0.0071,0.3542,4.46,1121,88.75,666
accessories,Sobol,100,0.1326,0.1021,0.0822,0.042,0.2883,0.9172,0.9194,0.0415,0.8333,1.0,0.0159,0.0143,0.0098,0.0033,0.0442,0.0883,0.0743,0.0756,0.0021,0.275,8.92,1121,97.05,666
accessories,Sobol,200,0.2823,0.3033,0.1071,0.0826,0.4234,0.9383,0.942,0.0442,0.8249,1.0,0.008,0.0086,0.0062,0.0005,0.0207,0.0458,0.0341,0.0437,0.0002,0.1563,17.84,1121,202.3,666
accessories,Sobol,250,0.2931,0.2673,0.0973,0.1081,0.4655,0.9654,0.9702,0.0354,0.8587,1.0,0.0086,0.0088,0.0057,0.0007,0.0195,0.0392,0.0195,0.0437,0.0003,0.1559,22.3,1121,204.25,666
accessories,Stratified,50,0.3776,0.4662,0.2803,0.0315,0.9114,0.7215,0.663,0.1354,0.5619,0.9388,0.0563,0.0498,0.0301,0.0185,0.1223,0.2342,0.2958,0.1498,0.0063,0.4004,4.46,1121,400.1,666
accessories,Stratified,100,0.3629,0.4354,0.2768,0.0315,0.7538,0.7206,0.6253,0.1466,0.5653,0.9559,0.0437,0.0457,0.0239,0.0078,0.1002,0.2312,0.2896,0.1307,0.0078,0.3635,8.92,1121,384.25,666
